               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.01086,           0.0042933,                   0,             0.21964,             0.55901,             0.26406,             0.19249,           0.0068373,           0.0041774,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.013134,           0.0045826,                   0,             0.30423,             0.40994,             0.27645,             0.21691,           0.0061285,           0.0042129,                   0,            0.002674,            0.002674,            0.002674
                  39,           0.0094084,           0.0043969,                   0,             0.29116,             0.40373,             0.27071,             0.20141,           0.0071814,           0.0040927,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.010391,            0.004063,                   0,             0.27002,             0.42857,             0.27599,             0.20174,           0.0069985,           0.0040687,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.010047,           0.0038584,                   0,             0.23692,             0.45342,             0.26969,             0.19488,           0.0070755,           0.0040889,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.01242,           0.0044896,                   0,             0.28198,             0.38509,             0.27984,             0.20478,           0.0069722,           0.0040753,                   0,            0.001882,            0.001882,            0.001882
                  43,           0.0081165,           0.0042191,                   0,             0.27283,             0.42236,             0.27947,             0.21028,            0.006641,           0.0040286,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.011198,           0.0041711,                   0,             0.22537,             0.52795,             0.24916,             0.18498,           0.0064975,           0.0040142,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.011451,           0.0042938,                   0,             0.28018,             0.42857,             0.26777,              0.2073,           0.0061408,           0.0040535,                   0,            0.001288,            0.001288,            0.001288
                  46,           0.0086996,           0.0039343,                   0,             0.23385,              0.5528,             0.25576,             0.18096,           0.0069932,           0.0039758,                   0,             0.00109,             0.00109,             0.00109
                  47,           0.0083476,           0.0040974,                   0,             0.23715,             0.53101,             0.25842,              0.1977,            0.005769,           0.0040567,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.007834,           0.0041058,                   0,             0.25893,             0.50932,             0.26387,             0.19684,           0.0061701,           0.0040277,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.012578,           0.0041708,                   0,             0.25349,             0.52729,             0.25918,             0.19211,           0.0064458,           0.0039594,                   0,            0.000496,            0.000496,            0.000496
